Resume ID,Candidate Name,Job ID,Job Title,Semantic Score,Skill Overlap,Final Score,Final %
22,22,361,Network Administrator,0.7245,0.0664,0.56,56.0
22,22,1899,Django Developer,0.7124,0.0929,0.5575,55.75
22,22,507,Software Engineer,0.714,0.0731,0.5538,55.38
22,22,463,DevOps Engineer,0.714,0.0731,0.5538,55.38
23,23,1002,Machine Learning,0.7914,0.1636,0.6344,63.44
23,23,1067,Django Developer,0.7928,0.1247,0.6258,62.58
23,23,520,Machine Learning,0.7788,0.1507,0.6218,62.18
23,23,547,Machine Learning,0.8006,0.0392,0.6102,61.02
23,23,1868,Software Engineer,0.7859,0.0,0.5894,58.94
24,24,1107,Java Developer,0.7914,0.0877,0.6155,61.55
24,24,1914,Java Developer,0.7664,0.1111,0.6026,60.26
24,24,1717,Backend Developer,0.7683,0.1053,0.6025,60.25
24,24,2245,Java Developer,0.7803,0.0588,0.6,60.0
24,24,1555,Django Developer,0.7657,0.0759,0.5932,59.32
25,25,523,Machine Learning,0.758,0.0986,0.5931,59.31
25,25,2245,Java Developer,0.7644,0.0455,0.5847,58.47
25,25,863,Machine Learning,0.7562,0.0686,0.5843,58.43
25,25,2031,Django Developer,0.7483,0.0357,0.5702,57.02
25,25,1739,Machine Learning,0.7411,0.0505,0.5684,56.84
26,26,605,Machine Learning,0.8242,0.1262,0.6497,64.97
26,26,775,Machine Learning,0.7946,0.1225,0.6266,62.66
26,26,1217,Machine Learning,0.7919,0.1089,0.6211,62.11
26,26,329,Machine Learning,0.8187,0.0,0.6141,61.41
26,26,547,Machine Learning,0.7907,0.0504,0.6056,60.56
27,27,775,Machine Learning,0.8611,0.1338,0.6793,67.93
27,27,1193,Machine Learning,0.858,0.1303,0.6761,67.61
27,27,527,Machine Learning,0.8347,0.1573,0.6654,66.54
27,27,1932,Machine Learning,0.8344,0.1081,0.6528,65.28
27,27,329,Machine Learning,0.8429,0.0037,0.6331,63.31
28,28,775,Machine Learning,0.8559,0.1128,0.6701,67.01
28,28,90,Machine Learning,0.7935,0.1201,0.6251,62.51
28,28,329,Machine Learning,0.8279,0.0085,0.6231,62.31
28,28,556,Software Engineer,0.7996,0.0912,0.6225,62.25
28,28,605,Machine Learning,0.7922,0.1,0.6191,61.91
29,29,402,Machine Learning,0.8118,0.099,0.6336,63.36
29,29,1422,Machine Learning,0.8117,0.0979,0.6333,63.33
29,29,1890,Machine Learning,0.789,0.1504,0.6293,62.93
29,29,918,Machine Learning,0.7954,0.1087,0.6238,62.38
29,29,547,Machine Learning,0.7845,0.0487,0.6005,60.05
30,30,605,Machine Learning,0.8251,0.1353,0.6527,65.27
30,30,775,Machine Learning,0.8185,0.1082,0.641,64.1
30,30,329,Machine Learning,0.8501,0.0069,0.6393,63.93
30,30,90,Machine Learning,0.8017,0.1255,0.6326,63.26
30,30,1419,Machine Learning,0.7927,0.125,0.6258,62.58
31,31,681,Machine Learning,0.7783,0.0867,0.6054,60.54
31,31,1831,Machine Learning,0.7278,0.0751,0.5647,56.47
31,31,1962,Machine Learning,0.7296,0.0629,0.5629,56.29
31,31,464,Machine Learning,0.7219,0.0777,0.5609,56.09
31,31,1217,Machine Learning,0.72,0.0521,0.553,55.3
32,32,1165,Software Engineer,0.7268,0.101,0.5704,57.04
32,32,361,Network Administrator,0.7245,0.0664,0.56,56.0
32,32,1899,Django Developer,0.7124,0.0929,0.5575,55.75
32,32,507,Software Engineer,0.714,0.0731,0.5538,55.38
32,32,463,DevOps Engineer,0.714,0.0731,0.5538,55.38
33,33,1002,Machine Learning,0.7914,0.1636,0.6344,63.44
33,33,1067,Django Developer,0.7928,0.1247,0.6258,62.58
33,33,520,Machine Learning,0.7788,0.1507,0.6218,62.18
33,33,547,Machine Learning,0.8006,0.0392,0.6102,61.02
33,33,1868,Software Engineer,0.7859,0.0,0.5894,58.94
34,34,1107,Java Developer,0.7914,0.0877,0.6155,61.55
34,34,1914,Java Developer,0.7664,0.1111,0.6026,60.26
34,34,1717,Backend Developer,0.7683,0.1053,0.6025,60.25
34,34,2245,Java Developer,0.7803,0.0588,0.6,60.0
34,34,1555,Django Developer,0.7657,0.0759,0.5932,59.32
35,35,523,Machine Learning,0.758,0.0986,0.5931,59.31
35,35,2245,Java Developer,0.7644,0.0455,0.5847,58.47
35,35,863,Machine Learning,0.7562,0.0686,0.5843,58.43
35,35,2031,Django Developer,0.7483,0.0357,0.5702,57.02
35,35,1739,Machine Learning,0.7411,0.0505,0.5684,56.84
36,36,605,Machine Learning,0.8242,0.1262,0.6497,64.97
36,36,775,Machine Learning,0.7946,0.1225,0.6266,62.66
36,36,1217,Machine Learning,0.7919,0.1089,0.6211,62.11
36,36,329,Machine Learning,0.8187,0.0,0.6141,61.41
36,36,547,Machine Learning,0.7907,0.0504,0.6056,60.56
37,37,775,Machine Learning,0.8611,0.1338,0.6793,67.93
37,37,1193,Machine Learning,0.858,0.1303,0.6761,67.61
37,37,527,Machine Learning,0.8347,0.1573,0.6654,66.54
37,37,1932,Machine Learning,0.8344,0.1081,0.6528,65.28
37,37,329,Machine Learning,0.8429,0.0037,0.6331,63.31
38,38,775,Machine Learning,0.8559,0.1128,0.6701,67.01
38,38,90,Machine Learning,0.7935,0.1201,0.6251,62.51
38,38,329,Machine Learning,0.8279,0.0085,0.6231,62.31
38,38,556,Software Engineer,0.7996,0.0912,0.6225,62.25
38,38,605,Machine Learning,0.7922,0.1,0.6191,61.91
39,39,402,Machine Learning,0.8118,0.099,0.6336,63.36
39,39,1422,Machine Learning,0.8117,0.0979,0.6333,63.33
39,39,1890,Machine Learning,0.789,0.1504,0.6293,62.93
39,39,918,Machine Learning,0.7954,0.1087,0.6238,62.38
39,39,547,Machine Learning,0.7845,0.0487,0.6005,60.05
40,40,1143,Java Developer,0.7364,0.0625,0.5679,56.79
40,40,469,DevOps Engineer,0.727,0.0656,0.5616,56.16
40,40,2274,Network Administrator,0.7184,0.0339,0.5473,54.73
40,40,2020,Machine Learning,0.7202,0.0182,0.5447,54.47
40,40,457,Backend Developer,0.7105,0.0145,0.5365,53.65
41,41,1591,Database Administrator,0.7825,0.0865,0.6085,60.85
41,41,213,Database Administrator,0.7619,0.1159,0.6004,60.04
41,41,1222,Database Administrator,0.7607,0.1125,0.5986,59.86
41,41,1305,Database Administrator,0.7588,0.0949,0.5928,59.28
41,41,420,Database Administrator,0.7582,0.0899,0.5911,59.11
42,42,469,DevOps Engineer,0.6381,0.0682,0.4956,49.56
42,42,266,iOS Developer,0.6405,0.0233,0.4862,48.62
42,42,17,iOS Developer,0.6246,0.0444,0.4796,47.96
42,42,2274,Network Administrator,0.6284,0.0238,0.4772,47.72
42,42,2020,Machine Learning,0.6253,0.027,0.4758,47.58
43,43,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
43,43,2066,Java Developer,0.6318,0.0337,0.4823,48.23
43,43,863,Machine Learning,0.6149,0.0548,0.4748,47.48
43,43,953,Machine Learning,0.6057,0.0375,0.4636,46.36
43,43,1839,Network Administrator,0.598,0.0435,0.4594,45.94
44,44,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
44,44,2066,Java Developer,0.6318,0.0337,0.4823,48.23
44,44,863,Machine Learning,0.6149,0.0548,0.4748,47.48
44,44,953,Machine Learning,0.6057,0.0375,0.4636,46.36
44,44,1839,Network Administrator,0.598,0.0435,0.4594,45.94
45,45,1143,Java Developer,0.6767,0.0469,0.5193,51.93
45,45,457,Backend Developer,0.6691,0.0196,0.5067,50.67
45,45,1887,Wordpress Developer,0.6667,0.0253,0.5064,50.64
45,45,1518,Machine Learning,0.6504,0.0577,0.5022,50.22
45,45,495,Network Administrator,0.6471,0.037,0.4946,49.46
46,46,1143,Java Developer,0.6819,0.0476,0.5233,52.33
46,46,2274,Network Administrator,0.6456,0.0244,0.4903,49.03
46,46,673,Network Administrator,0.6453,0.0222,0.4895,48.95
46,46,217,Network Administrator,0.6453,0.0222,0.4895,48.95
46,46,344,Software Engineer,0.6411,0.0,0.4808,48.08
47,47,1087,Java Developer,0.7692,0.0507,0.5896,58.96
47,47,422,Backend Developer,0.7375,0.0662,0.5697,56.97
47,47,1260,Machine Learning,0.7436,0.0368,0.5669,56.69
47,47,1267,Network Administrator,0.7351,0.0568,0.5655,56.55
47,47,2066,Java Developer,0.7331,0.0438,0.5607,56.07
48,48,1518,Machine Learning,0.6571,0.0513,0.5056,50.56
48,48,1143,Java Developer,0.6548,0.0444,0.5022,50.22
48,48,1107,Java Developer,0.6502,0.0405,0.4978,49.78
48,48,457,Backend Developer,0.6487,0.0395,0.4964,49.64
48,48,344,Software Engineer,0.6481,0.0132,0.4894,48.94
49,49,1679,Network Administrator,0.7608,0.065,0.5869,58.69
49,49,1087,Java Developer,0.7547,0.0429,0.5768,57.68
49,49,360,Django Developer,0.7578,0.031,0.5761,57.61
49,49,589,Network Administrator,0.7303,0.0659,0.5642,56.42
49,49,1260,Machine Learning,0.7388,0.029,0.5613,56.13
50,50,343,Software Engineer,0.7965,0.1491,0.6347,63.47
50,50,1107,Java Developer,0.8113,0.0941,0.632,63.2
50,50,1914,Java Developer,0.7975,0.1099,0.6256,62.56
50,50,422,Backend Developer,0.7903,0.1048,0.6189,61.89
50,50,1519,Django Developer,0.7832,0.115,0.6161,61.61
51,51,1143,Java Developer,0.7364,0.0625,0.5679,56.79
51,51,469,DevOps Engineer,0.727,0.0656,0.5616,56.16
51,51,2274,Network Administrator,0.7184,0.0339,0.5473,54.73
51,51,2020,Machine Learning,0.7202,0.0182,0.5447,54.47
51,51,457,Backend Developer,0.7105,0.0145,0.5365,53.65
52,52,1591,Database Administrator,0.7825,0.0865,0.6085,60.85
52,52,213,Database Administrator,0.7619,0.1159,0.6004,60.04
52,52,1222,Database Administrator,0.7607,0.1125,0.5986,59.86
52,52,1305,Database Administrator,0.7588,0.0949,0.5928,59.28
52,52,420,Database Administrator,0.7582,0.0899,0.5911,59.11
53,53,469,DevOps Engineer,0.6381,0.0682,0.4956,49.56
53,53,266,iOS Developer,0.6405,0.0233,0.4862,48.62
53,53,17,iOS Developer,0.6246,0.0444,0.4796,47.96
53,53,2274,Network Administrator,0.6284,0.0238,0.4772,47.72
53,53,2020,Machine Learning,0.6253,0.027,0.4758,47.58
54,54,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
54,54,2066,Java Developer,0.6318,0.0337,0.4823,48.23
54,54,863,Machine Learning,0.6149,0.0548,0.4748,47.48
54,54,953,Machine Learning,0.6057,0.0375,0.4636,46.36
54,54,1839,Network Administrator,0.598,0.0435,0.4594,45.94
55,55,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
55,55,2066,Java Developer,0.6318,0.0337,0.4823,48.23
55,55,863,Machine Learning,0.6149,0.0548,0.4748,47.48
55,55,953,Machine Learning,0.6057,0.0375,0.4636,46.36
55,55,1839,Network Administrator,0.598,0.0435,0.4594,45.94
56,56,1143,Java Developer,0.6767,0.0469,0.5193,51.93
56,56,457,Backend Developer,0.6691,0.0196,0.5067,50.67
56,56,1887,Wordpress Developer,0.6667,0.0253,0.5064,50.64
56,56,1518,Machine Learning,0.6504,0.0577,0.5022,50.22
56,56,495,Network Administrator,0.6471,0.037,0.4946,49.46
57,57,1143,Java Developer,0.6819,0.0476,0.5233,52.33
57,57,2274,Network Administrator,0.6456,0.0244,0.4903,49.03
57,57,673,Network Administrator,0.6453,0.0222,0.4895,48.95
57,57,217,Network Administrator,0.6453,0.0222,0.4895,48.95
57,57,344,Software Engineer,0.6411,0.0,0.4808,48.08
58,58,1087,Java Developer,0.7692,0.0507,0.5896,58.96
58,58,422,Backend Developer,0.7375,0.0662,0.5697,56.97
58,58,1260,Machine Learning,0.7436,0.0368,0.5669,56.69
58,58,1267,Network Administrator,0.7351,0.0568,0.5655,56.55
58,58,2066,Java Developer,0.7331,0.0438,0.5607,56.07
59,59,1518,Machine Learning,0.6571,0.0513,0.5056,50.56
59,59,1143,Java Developer,0.6548,0.0444,0.5022,50.22
59,59,1107,Java Developer,0.6502,0.0405,0.4978,49.78
59,59,457,Backend Developer,0.6487,0.0395,0.4964,49.64
59,59,344,Software Engineer,0.6481,0.0132,0.4894,48.94
60,60,1679,Network Administrator,0.7608,0.065,0.5869,58.69
60,60,1087,Java Developer,0.7547,0.0429,0.5768,57.68
60,60,360,Django Developer,0.7578,0.031,0.5761,57.61
60,60,589,Network Administrator,0.7303,0.0659,0.5642,56.42
60,60,1260,Machine Learning,0.7388,0.029,0.5613,56.13
61,61,343,Software Engineer,0.7965,0.1491,0.6347,63.47
61,61,1107,Java Developer,0.8113,0.0941,0.632,63.2
61,61,1914,Java Developer,0.7975,0.1099,0.6256,62.56
61,61,422,Backend Developer,0.7903,0.1048,0.6189,61.89
61,61,1519,Django Developer,0.7832,0.115,0.6161,61.61
62,62,1143,Java Developer,0.7364,0.0625,0.5679,56.79
62,62,469,DevOps Engineer,0.727,0.0656,0.5616,56.16
62,62,2274,Network Administrator,0.7184,0.0339,0.5473,54.73
62,62,2020,Machine Learning,0.7202,0.0182,0.5447,54.47
62,62,457,Backend Developer,0.7105,0.0145,0.5365,53.65
63,63,1591,Database Administrator,0.7825,0.0865,0.6085,60.85
63,63,213,Database Administrator,0.7619,0.1159,0.6004,60.04
63,63,1222,Database Administrator,0.7607,0.1125,0.5986,59.86
63,63,1305,Database Administrator,0.7588,0.0949,0.5928,59.28
63,63,420,Database Administrator,0.7582,0.0899,0.5911,59.11
64,64,469,DevOps Engineer,0.6381,0.0682,0.4956,49.56
64,64,266,iOS Developer,0.6405,0.0233,0.4862,48.62
64,64,17,iOS Developer,0.6246,0.0444,0.4796,47.96
64,64,2274,Network Administrator,0.6284,0.0238,0.4772,47.72
64,64,2020,Machine Learning,0.6253,0.027,0.4758,47.58
65,65,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
65,65,2066,Java Developer,0.6318,0.0337,0.4823,48.23
65,65,863,Machine Learning,0.6149,0.0548,0.4748,47.48
65,65,953,Machine Learning,0.6057,0.0375,0.4636,46.36
65,65,1839,Network Administrator,0.598,0.0435,0.4594,45.94
66,66,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
66,66,2066,Java Developer,0.6318,0.0337,0.4823,48.23
66,66,863,Machine Learning,0.6149,0.0548,0.4748,47.48
66,66,953,Machine Learning,0.6057,0.0375,0.4636,46.36
66,66,1839,Network Administrator,0.598,0.0435,0.4594,45.94
67,67,1143,Java Developer,0.6767,0.0469,0.5193,51.93
67,67,457,Backend Developer,0.6691,0.0196,0.5067,50.67
67,67,1887,Wordpress Developer,0.6667,0.0253,0.5064,50.64
67,67,1518,Machine Learning,0.6504,0.0577,0.5022,50.22
67,67,495,Network Administrator,0.6471,0.037,0.4946,49.46
68,68,1143,Java Developer,0.6819,0.0476,0.5233,52.33
68,68,2274,Network Administrator,0.6456,0.0244,0.4903,49.03
68,68,673,Network Administrator,0.6453,0.0222,0.4895,48.95
68,68,217,Network Administrator,0.6453,0.0222,0.4895,48.95
68,68,344,Software Engineer,0.6411,0.0,0.4808,48.08
69,69,1087,Java Developer,0.7692,0.0507,0.5896,58.96
69,69,422,Backend Developer,0.7375,0.0662,0.5697,56.97
69,69,1260,Machine Learning,0.7436,0.0368,0.5669,56.69
69,69,1267,Network Administrator,0.7351,0.0568,0.5655,56.55
69,69,2066,Java Developer,0.7331,0.0438,0.5607,56.07
70,70,1518,Machine Learning,0.6571,0.0513,0.5056,50.56
70,70,1143,Java Developer,0.6548,0.0444,0.5022,50.22
70,70,1107,Java Developer,0.6502,0.0405,0.4978,49.78
70,70,457,Backend Developer,0.6487,0.0395,0.4964,49.64
70,70,344,Software Engineer,0.6481,0.0132,0.4894,48.94
71,71,1679,Network Administrator,0.7608,0.065,0.5869,58.69
71,71,1087,Java Developer,0.7547,0.0429,0.5768,57.68
71,71,360,Django Developer,0.7578,0.031,0.5761,57.61
71,71,589,Network Administrator,0.7303,0.0659,0.5642,56.42
71,71,1260,Machine Learning,0.7388,0.029,0.5613,56.13
72,72,343,Software Engineer,0.7965,0.1491,0.6347,63.47
72,72,1107,Java Developer,0.8113,0.0941,0.632,63.2
72,72,1914,Java Developer,0.7975,0.1099,0.6256,62.56
72,72,422,Backend Developer,0.7903,0.1048,0.6189,61.89
72,72,1519,Django Developer,0.7832,0.115,0.6161,61.61
73,73,1143,Java Developer,0.7364,0.0625,0.5679,56.79
73,73,469,DevOps Engineer,0.727,0.0656,0.5616,56.16
73,73,2274,Network Administrator,0.7184,0.0339,0.5473,54.73
73,73,2020,Machine Learning,0.7202,0.0182,0.5447,54.47
73,73,457,Backend Developer,0.7105,0.0145,0.5365,53.65
74,74,1591,Database Administrator,0.7825,0.0865,0.6085,60.85
74,74,213,Database Administrator,0.7619,0.1159,0.6004,60.04
74,74,1222,Database Administrator,0.7607,0.1125,0.5986,59.86
74,74,1305,Database Administrator,0.7588,0.0949,0.5928,59.28
74,74,420,Database Administrator,0.7582,0.0899,0.5911,59.11
75,75,469,DevOps Engineer,0.6381,0.0682,0.4956,49.56
75,75,266,iOS Developer,0.6405,0.0233,0.4862,48.62
75,75,17,iOS Developer,0.6246,0.0444,0.4796,47.96
75,75,2274,Network Administrator,0.6284,0.0238,0.4772,47.72
75,75,2020,Machine Learning,0.6253,0.027,0.4758,47.58
76,76,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
76,76,2066,Java Developer,0.6318,0.0337,0.4823,48.23
76,76,863,Machine Learning,0.6149,0.0548,0.4748,47.48
76,76,953,Machine Learning,0.6057,0.0375,0.4636,46.36
76,76,1839,Network Administrator,0.598,0.0435,0.4594,45.94
77,77,469,DevOps Engineer,0.6253,0.093,0.4922,49.22
77,77,2066,Java Developer,0.6318,0.0337,0.4823,48.23
77,77,863,Machine Learning,0.6149,0.0548,0.4748,47.48
77,77,953,Machine Learning,0.6057,0.0375,0.4636,46.36
77,77,1839,Network Administrator,0.598,0.0435,0.4594,45.94
78,78,1143,Java Developer,0.6767,0.0469,0.5193,51.93
78,78,457,Backend Developer,0.6691,0.0196,0.5067,50.67
78,78,1887,Wordpress Developer,0.6667,0.0253,0.5064,50.64
78,78,1518,Machine Learning,0.6504,0.0577,0.5022,50.22
78,78,495,Network Administrator,0.6471,0.037,0.4946,49.46
79,79,1143,Java Developer,0.6819,0.0476,0.5233,52.33
79,79,2274,Network Administrator,0.6456,0.0244,0.4903,49.03
79,79,673,Network Administrator,0.6453,0.0222,0.4895,48.95
79,79,217,Network Administrator,0.6453,0.0222,0.4895,48.95
79,79,344,Software Engineer,0.6411,0.0,0.4808,48.08
80,80,1087,Java Developer,0.7692,0.0507,0.5896,58.96
80,80,422,Backend Developer,0.7375,0.0662,0.5697,56.97
80,80,1260,Machine Learning,0.7436,0.0368,0.5669,56.69
80,80,1267,Network Administrator,0.7351,0.0568,0.5655,56.55
80,80,2066,Java Developer,0.7331,0.0438,0.5607,56.07
81,81,1518,Machine Learning,0.6571,0.0513,0.5056,50.56
81,81,1143,Java Developer,0.6548,0.0444,0.5022,50.22
81,81,1107,Java Developer,0.6502,0.0405,0.4978,49.78
81,81,457,Backend Developer,0.6487,0.0395,0.4964,49.64
81,81,344,Software Engineer,0.6481,0.0132,0.4894,48.94
82,82,1679,Network Administrator,0.7608,0.065,0.5869,58.69
82,82,1087,Java Developer,0.7547,0.0429,0.5768,57.68
82,82,360,Django Developer,0.7578,0.031,0.5761,57.61
82,82,589,Network Administrator,0.7303,0.0659,0.5642,56.42
82,82,1260,Machine Learning,0.7388,0.029,0.5613,56.13
83,83,343,Software Engineer,0.7965,0.1491,0.6347,63.47
83,83,1107,Java Developer,0.8113,0.0941,0.632,63.2
83,83,1914,Java Developer,0.7975,0.1099,0.6256,62.56
83,83,422,Backend Developer,0.7903,0.1048,0.6189,61.89
83,83,1519,Django Developer,0.7832,0.115,0.6161,61.61
84,84,1896,Backend Developer,0.6994,0.0617,0.54,54.0
84,84,1591,Database Administrator,0.6864,0.075,0.5336,53.36
84,84,2221,JavaScript Developer,0.6946,0.0466,0.5326,53.26
84,84,227,Network Administrator,0.6905,0.0591,0.5326,53.26
84,84,2233,Software Engineer,0.6926,0.0459,0.531,53.1
85,85,1143,Java Developer,0.7225,0.0353,0.5507,55.07
85,85,2245,Java Developer,0.7205,0.0385,0.55,55.0
85,85,344,Software Engineer,0.7319,0.0,0.5489,54.89
85,85,1087,Java Developer,0.6986,0.0648,0.5401,54.01
85,85,457,Backend Developer,0.6995,0.0429,0.5353,53.53
86,86,2041,Database Administrator,0.599,0.0233,0.4551,45.51
86,86,1887,Wordpress Developer,0.5933,0.038,0.4545,45.45
